ダウンロードした時刻：2025/07/15 21:02:44

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多
年月,平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1980/1,5.6,8,1,-1.1,8,1,18.8,8,1,10.0,8,1,1.7,8,1,5.7,8,1,-2.5,8,1,17.9,8,1,9.2,8,1,2.0,8,1,16.3,8,1,10.3,8,1,25.1,8,1,18.6,8,1,14.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/2,5.2,8,1,-1.2,8,1,13.3,8,1,9.2,8,1,1.3,8,1,4.8,8,1,-2.6,8,1,13.4,8,1,8.3,8,1,1.4,8,1,15.1,8,1,10.0,8,1,23.3,8,1,17.8,8,1,13.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/3,8.2,8,1,1.3,8,1,21.2,8,1,12.0,8,1,4.9,8,1,8.5,8,1,0.8,8,1,19.3,8,1,12.7,8,1,4.5,8,1,19.1,8,1,13.1,8,1,26.2,8,1,21.9,8,1,16.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/4,13.6,8,1,4.6,8,1,24.0,8,1,17.6,8,1,9.9,8,1,13.9,8,1,4.1,8,1,23.8,8,1,18.7,8,1,9.2,8,1,20.5,8,1,13.8,8,1,26.2,8,1,22.8,8,1,18.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/5,19.2,8,1,9.6,8,1,29.5,8,1,23.4,8,1,15.2,8,1,19.5,8,1,7.1,8,1,29.9,8,1,24.6,8,1,14.8,8,1,23.9,8,1,17.0,8,1,30.0,8,1,26.5,8,1,21.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/6,23.6,8,1,17.7,8,1,31.6,8,1,27.0,8,1,20.9,8,1,23.9,8,1,15.0,8,1,31.4,8,1,27.8,8,1,20.8,8,1,27.6,8,1,22.1,8,1,32.3,8,1,30.4,8,1,25.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/7,23.8,8,1,16.4,8,1,33.0,8,1,27.4,8,1,21.1,8,1,25.8,8,1,19.1,8,1,34.9,8,1,29.7,8,1,22.9,8,1,28.7,8,1,25.0,8,1,32.8,8,1,31.3,8,1,26.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/8,23.4,8,1,17.6,8,1,32.2,8,1,26.6,8,1,20.7,8,1,26.6,8,1,21.7,8,1,34.2,8,1,30.6,8,1,23.8,8,1,28.8,8,1,24.1,8,1,34.0,8,1,31.7,8,1,26.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/9,23.0,8,1,13.2,8,1,31.9,8,1,26.1,8,1,20.3,8,1,23.3,8,1,14.0,8,1,34.8,8,1,27.4,8,1,19.7,8,1,27.3,8,1,21.3,8,1,32.2,8,1,29.9,8,1,25.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
